,date,tic,open,high,low,close,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,turbulence
0,2017-01-03,AAPL,28.950000762939453,29.082500457763672,28.690000534057617,26.921552658081055,115127600.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2017-01-03,AMGN,147.86000061035156,151.0,147.1199951171875,119.6122055053711,3640900.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2017-01-03,AMZN,37.895999908447266,37.9379997253418,37.3849983215332,37.68349838256836,70422000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2017-01-03,AXP,74.88999938964844,75.75,74.73999786376953,67.4246597290039,5853900.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2017-01-03,BA,156.3000030517578,157.13999938964844,155.2100067138672,145.53367614746094,3426100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2017-01-03,CAT,94.0,95.19000244140625,93.25,78.04342651367188,5054900.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2017-01-03,CRM,69.29000091552734,70.86000061035156,69.0,70.22823333740234,8112200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2017-01-03,CSCO,30.3700008392334,30.559999465942383,30.209999084472656,23.996347427368164,22370600.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2017-01-03,CVX,118.37999725341797,119.0,116.58999633789062,84.82679748535156,7404800.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2017-01-03,DIS,105.30000305175781,106.9000015258789,105.20999908447266,100.78936767578125,8884300.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2017-01-03,GS,242.6999969482422,244.97000122070312,237.97000122070312,205.02171325683594,4384200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2017-01-03,HD,135.10000610351562,135.50999450683594,133.58999633789062,111.37667846679688,5299700.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2017-01-03,HON,111.78394317626953,112.042724609375,110.7583999633789,94.94635772705078,3155931.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2017-01-03,IBM,159.6558380126953,160.48757934570312,158.70936584472656,112.1993408203125,3069278.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2017-01-03,INTC,36.61000061035156,36.93000030517578,36.27000045776367,29.879764556884766,20196500.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2017-01-03,JNJ,115.77999877929688,116.0,115.2300033569336,93.81085205078125,5953000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2017-01-03,JPM,87.33999633789062,87.76000213623047,85.9800033569336,70.39909362792969,20550700.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2017-01-03,KO,41.5,41.810001373291016,41.279998779296875,32.694000244140625,14711000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2017-01-03,MCD,121.86000061035156,122.0,118.95999908447266,99.50983428955078,5123800.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2017-01-03,MMM,149.52340698242188,150.50167846679688,148.17726135253906,112.58915710449219,3001123.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2017-01-03,MRK,56.44084167480469,57.614505767822266,56.345420837402344,45.493797302246094,12564158.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2017-01-03,MSFT,62.790000915527344,62.84000015258789,62.130001068115234,56.82814407348633,20694100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2017-01-03,NKE,51.9900016784668,52.5,51.77000045776367,47.62736892700195,13295600.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2017-01-03,PG,83.87999725341797,84.38999938964844,83.5,68.2010726928711,8792700.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2017-01-03,TRV,123.06999969482422,123.06999969482422,120.26000213623047,101.39058685302734,1955400.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2017-01-03,UNH,161.1300048828125,162.27000427246094,159.14999389648438,143.93592834472656,3539700.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2017-01-03,V,78.76000213623047,79.91000366210938,78.48999786376953,75.35758209228516,13785200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2017-01-03,VZ,53.959999084472656,54.66999816894531,53.72999954223633,36.74708557128906,22891700.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2017-01-03,WMT,23.079999923706055,23.079999923706055,22.683332443237305,19.86093521118164,31419600.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2017-01-04,AAPL,28.962499618530273,29.127500534057617,28.9375,26.891414642333984,84472400.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2017-01-04,AMGN,152.08999633789062,153.72000122070312,151.77000427246094,121.3104019165039,3945900.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
