date,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WMT
2020-08-27,36,0,0,1,0,8,0,0,-29,0,0,0,0,0,-14,0,0,0,0,0,0,0,0,0,0,0,-14,0,0
2020-08-28,33,0,0,0,0,0,0,0,-29,0,0,0,6,0,-16,0,0,0,0,0,0,0,0,0,0,0,-10,-1,0
2020-08-31,34,0,0,0,0,0,0,0,-28,0,0,0,1,0,-17,0,0,0,0,0,0,0,0,0,0,0,-8,-1,0
2020-09-01,33,0,0,0,0,0,0,0,-29,0,0,0,3,0,-16,0,0,0,0,0,0,0,0,0,0,0,-10,-1,0
2020-09-02,35,0,0,1,0,5,0,0,-18,0,0,0,0,0,-13,0,0,0,0,0,0,0,0,0,0,0,-16,0,0
2020-09-03,29,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,0,0,0,0,0,0,0,0,0,0,0,-14,0,0
2020-09-04,20,0,0,0,0,0,0,0,0,0,0,0,0,0,-17,0,1,0,0,0,0,0,0,0,0,0,-8,-1,0
2020-09-08,29,0,0,1,0,0,0,0,0,0,0,0,4,0,-16,0,0,0,0,0,-2,0,0,0,0,0,-15,-3,0
2020-09-09,20,0,0,0,0,0,0,0,0,0,0,0,0,0,-17,0,1,0,0,0,0,0,0,0,0,0,-8,-1,0
2020-09-10,29,0,0,0,0,0,0,0,0,0,0,0,4,0,-16,0,1,0,0,0,-2,0,0,0,0,0,-15,-3,0
2020-09-11,29,0,0,0,0,0,0,0,0,0,0,0,4,0,-16,0,0,0,0,0,-2,0,0,0,1,0,-15,-3,0
2020-09-14,21,0,0,0,0,0,0,0,0,0,0,0,0,0,-17,0,0,0,0,0,0,0,0,0,0,0,-8,-1,0
2020-09-15,21,0,0,0,0,0,0,0,0,0,0,0,0,0,-17,0,0,0,0,0,1,0,0,0,0,0,-8,-1,0
2020-09-16,22,0,0,0,0,0,0,0,0,0,0,0,0,0,-17,0,0,0,0,0,0,0,0,0,0,0,-8,-1,0
2020-09-17,24,0,0,0,0,0,0,0,0,0,0,0,0,0,-17,0,0,0,0,0,0,0,0,0,0,0,-9,-1,0
2020-09-18,31,0,0,0,0,0,0,0,0,0,0,0,0,0,-15,0,0,0,0,0,0,0,0,0,0,0,-13,0,0
2020-09-21,37,0,0,1,0,0,0,0,0,0,0,0,5,0,-18,0,0,0,0,0,0,0,0,0,0,0,-21,0,0
2020-09-22,41,0,0,0,0,0,0,0,0,1,0,0,0,0,-11,0,0,0,0,0,-1,0,0,0,0,0,-20,-3,0
2020-09-23,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-20,-3,0
2020-09-24,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-20,-3,0
2020-09-25,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-20,-3,0
2020-09-28,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20,0,0
2020-09-29,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20,0,0
2020-09-30,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20,0,0
2020-10-01,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15,-2,0
2020-10-02,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-20,0,0
2020-10-05,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-9,0,0
2020-10-06,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-14,0,0
2020-10-07,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-21,0,0
2020-10-08,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-14,0,0
2020-10-09,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,0,0
2020-10-12,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-14,0,0
